"SPECIES_ID","SPECIES_NAME","ALPHA_CODE","TAXONOMIC_ORDER","SCI_NAME","RECOMENDSIZE","ALLOWABLESIZE","ENDANGERED","RAPTOR","GAMEBIRD"
"9130","Thick-billed Vireo","TBVI",695,"Vireo crassirostris","1C, 1","1C, 1, 0","","",""
"9132","Jamaican Vireo","JAVI",696,"Vireo modestus","0","0","","",""
"9138","Olive-capped Warbler","OLIW",945,"Setophaga pityophila","0A","0A, 0","","",""
"9141","Arrowhead Warbler","ARRW",928,"Setophaga pharetra","0A","0A, 0","","",""
"9145","Bahama Yellowthroat","BAYE",925,"Geothlypis rostrata","1, 1C","1, 1C, 0","","",""
"9151","Orangequit","ORAN",991,"Euneornis campestris","1C, 1","1C, 1, 0, 1B","","",""
"9153","Jamaican Euphonia","JAEU",1120,"Euphonia jamaica","0, 0A","0, 0A, 1, 1C","","",""
"9166","Venezuelan Troupial","VETR",1108,"Icterus icterus","3","3, 2, 3B","","",""
"9169","Jamaican Oriole","JAOR",1112,"Icterus leucopteryx","2, 1D","2, 1D","","",""
"9176","Yellow-shouldered Grassquit","YSGR",987,"Loxipasser anoxanthus","0, 1","0, 1, 1C","","",""
"9178","Greater Antillean Bullfinch","GABU",989,"Melopyrrha violacea","1B, 1","1B, 1, 1A","","",""
"9182","Yellow-bellied Seedeater","YBSE",983,"Sporophila nigricollis","0","0, 0A, 1","","",""
"9184","Blue-black Grassquit","BBGR",981,"Volatinia jacarina","0, 0A","0, 0A","","",""
"9986","Hybrid Nonpasserine","HYNO",608,"","1A, 3A, 4, 4A, 5, 6, 7, 7A, 7B","1A, 3A, 4, 4A, 5, 6, 7, 7A, 7B","","",""
"9996","Hybrid Passerine","HYPA",609,"","0, 0A, 1, 1A, 1B, 1D, 3A, 3B","0, 0A, 1, 1A, 1B, 1D, 3A, 3B","","",""
