"species"	"year"	"spr_max_speed"	"aut_max_speed"
"Turdus_migratorius"	2008	10.7158737591072	8.02835705211299
"Turdus_migratorius"	2009	15.3221446802976	13.4610025738912
"Turdus_migratorius"	2010	22.9777696218311	14.9973260909512
"Turdus_migratorius"	2011	15.4378242701498	10.1718376866625
"Turdus_migratorius"	2012	16.6689523782983	12.8976934859435
"Turdus_migratorius"	2013	14.8367182623593	10.5953174428377
"Turdus_migratorius"	2014	12.0051120895121	10.4670764359045
"Turdus_migratorius"	2015	16.4097233066879	16.429071109452
"Turdus_migratorius"	2016	17.0374808954072	16.103531729032
"Turdus_migratorius"	2017	16.3611978751192	13.6754497424692
"Turdus_migratorius"	2018	13.322433645776	14.9476118282166
"Turdus_migratorius"	2019	19.1033922625356	17.1308345558451
"Turdus_migratorius"	2020	17.2511850923761	22.4592330161872
"Turdus_migratorius"	2021	21.2376761852406	10.313590092696
